logFC_R1	logCPM_R1	PValue_R1	FDR_R1	logFC_S1	logCPM_S1	PValue_S1	FDR_S1	logFC_R2	logCPM_R2	PValue_R2	FDR_R2	logFC_I1	logCPM_I1	PValue_I1	FDR_I1	logFC_I1_vs_S1	logCPM_I1_vs_S1	PValue_I1_vs_S1	FDR_I1_vs_S1	logFC_R2_vs_S1	logCPM_R2_vs_S1	PValue_R2_vs_S1	FDR_R2_vs_S1	logFC_R1_vs_S1	logCPM_R1_vs_S1	PValue_R1_vs_S1	FDR_R1_vs_S1	geneID
0.45544094010156255	0.334317889699672	0.3167659719455613	0.6983038689609472	-0.8250384608980991	0.334317889699672	0.09072919564293616	0.4269232697978019	0.14034258904090818	0.334317889699672	0.7745633955829119	1	0.6286730865197567	0.334317889699672	0.13100804675022854	0.6442939515753175	1.455349487661156	0.334317889699672	5.652054075616222e-4	0.03077485770151853	0.9668384423153128	0.334317889699672	0.04077771873657453	0.4782456949952017	1.2814848893654318	0.334317889699672	0.0028800810218097624	0.6616958726672547	B9J08_000001
-0.16430094544936763	0.5128531052833124	0.7744356851575946	0.9396474690841922	0.1377532451677979	0.5128531052833124	0.8565938828886694	0.9735351524524941	-0.01450180964802542	0.5128531052833124	1	1	0.535287137365132	0.5128531052833124	0.16123887343442117	0.6812118991655356	0.3975669014895356	0.5128531052833124	0.26984933050090315	0.7659127806132017	-0.15240964257250558	0.5128531052833124	0.7368617049417137	0.9783542070706865	-0.30221604812714353	0.5128531052833124	0.47607597210863367	1	B9J08_000002
0.16042345466260313	2.261699045218396	0.517325601448809	0.830995421643099	-0.36680382223412666	2.261699045218396	0.18534734317588142	0.5754385199137745	0.012839172157668942	2.261699045218396	0.9481677269689062	1	-0.1330406951558577	2.261699045218396	0.6119287129169071	0.9489251996874792	0.23385923889450663	2.261699045218396	0.3926797376845476	0.8288752390184533	0.379753363159701	2.261699045218396	0.14108936572683797	0.6703943504171036	0.5273058278490445	2.261699045218396	0.04094356081624308	1	B9J08_000003
-0.6226646960989894	1.6061250953548791	0.03818619413599036	0.2797151321778092	-0.8723687373134659	1.6061250953548791	0.004463875031664248	0.10135845603812947	-0.672890860906057	1.6061250953548791	0.02243110607593814	0.6900596678056066	-0.1336579415473986	1.6061250953548791	0.6754286303727508	0.9612547985450713	0.7390798383378043	1.6061250953548791	0.01400801689193788	0.22379274890832493	0.19976063279197712	1.6061250953548791	0.5586042200994935	0.9288302227100621	0.24981988473927189	1.6061250953548791	0.4781089507459924	1	B9J08_000004
-0.8839140393893754	1.9279297679945673	6.91174643788936e-4	0.030076564043759864	-0.9279158232453586	1.9279297679945673	4.6304927438392795e-4	0.029902848232188597	-0.5443199281267197	1.9279297679945673	0.03155613011556274	0.7720544594177915	-0.6209623865168757	1.9279297679945673	0.014792585506721289	0.2648766317579356	0.30718646451144876	1.9279297679945673	0.2959596912580086	0.7781237720679935	0.3838386559040678	1.9279297679945673	0.15898875702398832	0.6965221736289012	0.0440554718082071	1.9279297679945673	0.9225976266167918	1	B9J08_000005
-0.24872695728682934	6.286416447291271	0.05031089916288135	0.3162060753040458	-0.266198384629459	6.286416447291271	0.03670868362400622	0.2710615531105487	-0.17816171083285215	6.286416447291271	0.16164945374708148	1	-0.0852144172762742	6.286416447291271	0.500288903970819	0.9164873427400454	0.1809876820734623	6.286416447291271	0.15502002559740422	0.6457352510443005	0.08803983099280985	6.286416447291271	0.48804143386953075	0.8987569312500571	0.017472175347218503	6.286416447291271	0.8965684562362962	1	B9J08_000006
-0.10391236165285991	4.324221655686085	0.5509802687034062	0.8536674546461601	-0.09616212572197685	4.324221655686085	0.5816369157027433	0.8786022861070715	0.0739177451889693	4.324221655686085	0.6636130826510145	1	0.1615128863452589	4.324221655686085	0.32752333761443553	0.8398543771454771	0.2576850620048285	4.324221655686085	0.11852322885649351	0.5943984484757983	0.1700880431639942	4.324221655686085	0.3112925425783987	0.8150389867816734	-0.007749455007473453	4.324221655686085	0.9695708544514932	1	B9J08_000007
0.7531218404867215	5.79896400555121	2.1120265644851795e-4	0.014448427882170408	0.8613234186534194	5.79896400555121	2.2591973745576014e-5	0.0071476081737685175	0.7447021616050368	5.79896400555121	2.4485533522764516e-4	0.06272686577276232	0.7563997218133524	5.79896400555121	1.9285329929898004e-4	0.019416324623761465	-0.10493868514810327	5.79896400555121	0.6022264554621684	0.9099376541731451	-0.1166363553831994	5.79896400555121	0.5596364712141155	0.9294180549015003	-0.10820585636784462	5.79896400555121	0.5889137769134761	1	B9J08_000008
0.28851686315175246	5.761243157949784	0.03354232801283842	0.26699237681646976	0.321235862277232	5.761243157949784	0.01791535451562751	0.1987449723396848	0.05470997588564466	5.761243157949784	0.6948784652114409	1	0.19188541549389426	5.761243157949784	0.15683294857929603	0.677081075690105	-0.12935613036338806	5.761243157949784	0.3371913810725297	0.7938195212109501	-0.2665327962469116	5.761243157949784	0.046916149739185196	0.48690407402917135	-0.032720381974766614	5.761243157949784	0.8100807613161232	1	B9J08_000009
-0.1890618941426765	7.667931964997177	0.10923705643700352	0.4449533840823288	-0.057630449974568745	7.667931964997177	0.6260754037424421	0.8997410057553652	0.033473897967731744	7.667931964997177	0.7771201332685619	1	-0.0487952917872904	7.667931964997177	0.6803684370166246	0.9612547985450713	0.008835392599022485	7.667931964997177	0.9405942628530511	0.9948324005547201	0.09110476743214928	7.667931964997177	0.43922652172249993	0.8871535040478938	-0.13143174945216002	7.667931964997177	0.2652153314809032	1	B9J08_000010
