ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0005743	mitochondrial inner membrane	3/17	185/4476	0.016216216216216217	4.269634340222575	2.804193880967474	0.03080402382928105	0.2802889960540722	0.2617299623594902	C3_04660C_A/C3_06220C_A/CR_10420W_A	3
GO:0019866	organelle inner membrane	3/17	195/4476	0.015384615384615385	4.050678733031674	2.6893257524807135	0.03526484442981403	0.2802889960540722	0.2617299623594902	C3_04660C_A/C3_06220C_A/CR_10420W_A	3
GO:0030015	CCR4-NOT core complex	1/17	10/4476	0.1	26.329411764705885	4.950715721051475	0.03737469283564754	0.2802889960540722	0.2617299623594902	C5_00710W_A	1
GO:0071162	CMG complex	1/17	10/4476	0.1	26.329411764705885	4.950715721051475	0.03737469283564754	0.2802889960540722	0.2617299623594902	CR_02110W_A	1
GO:0005665	RNA polymerase II, core complex	1/17	11/4476	0.09090909090909091	23.93582887700535	4.702212969486224	0.04103896292561482	0.2802889960540722	0.2617299623594902	C4_03040W_A	1
GO:0030014	CCR4-NOT complex	1/17	11/4476	0.09090909090909091	23.93582887700535	4.702212969486224	0.04103896292561482	0.2802889960540722	0.2617299623594902	C5_00710W_A	1
GO:0005736	RNA polymerase I complex	1/17	12/4476	0.08333333333333333	21.941176470588236	4.4846840393696885	0.04469010237248228	0.2802889960540722	0.2617299623594902	C4_03040W_A	1
GO:0031967	organelle envelope	4/17	385/4476	0.01038961038961039	2.7355233002291826	2.199116909782323	0.0521980950010148	0.2802889960540722	0.2617299623594902	C1_00350C_A/C3_04660C_A/C3_06220C_A/CR_10420W_A	4
GO:0005656	nuclear pre-replicative complex	1/17	15/4476	0.06666666666666667	17.552941176470586	3.9646689902141694	0.055565177380708985	0.2802889960540722	0.2617299623594902	CR_02110W_A	1
GO:0036387	pre-replicative complex	1/17	15/4476	0.06666666666666667	17.552941176470586	3.9646689902141694	0.055565177380708985	0.2802889960540722	0.2617299623594902	CR_02110W_A	1
GO:0031966	mitochondrial membrane	3/17	239/4476	0.012552301255230125	3.3049470834358847	2.261168476361988	0.058712059249243886	0.2802889960540722	0.2617299623594902	C3_04660C_A/C3_06220C_A/CR_10420W_A	3
