ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0033646	host intracellular part	5/88	84/4476	0.05952380952380952	3.027597402597402	2.6564078194719154	0.023978380559720062	0.10236924008188181	0.08154590959580912	C1_07170C_A/C1_07670W_A/C1_08330C_A/C4_06570C_A/C4_06820C_A	5
GO:0033647	host intracellular organelle	5/88	84/4476	0.05952380952380952	3.027597402597402	2.6564078194719154	0.023978380559720062	0.10236924008188181	0.08154590959580912	C1_07170C_A/C1_07670W_A/C1_08330C_A/C4_06570C_A/C4_06820C_A	5
GO:0033648	host intracellular membrane-bounded organelle	5/88	84/4476	0.05952380952380952	3.027597402597402	2.6564078194719154	0.023978380559720062	0.10236924008188181	0.08154590959580912	C1_07170C_A/C1_07670W_A/C1_08330C_A/C4_06570C_A/C4_06820C_A	5
GO:0042025	host cell nucleus	5/88	84/4476	0.05952380952380952	3.027597402597402	2.6564078194719154	0.023978380559720062	0.10236924008188181	0.08154590959580912	C1_07170C_A/C1_07670W_A/C1_08330C_A/C4_06570C_A/C4_06820C_A	5
GO:0043656	host intracellular region	5/88	84/4476	0.05952380952380952	3.027597402597402	2.6564078194719154	0.023978380559720062	0.10236924008188181	0.08154590959580912	C1_07170C_A/C1_07670W_A/C1_08330C_A/C4_06570C_A/C4_06820C_A	5
GO:0043657	host cell	5/88	84/4476	0.05952380952380952	3.027597402597402	2.6564078194719154	0.023978380559720062	0.10236924008188181	0.08154590959580912	C1_07170C_A/C1_07670W_A/C1_08330C_A/C4_06570C_A/C4_06820C_A	5
GO:0005773	vacuole	8/88	205/4476	0.03902439024390244	1.9849223946784924	2.044177969957858	0.04702270473626738	0.19331556391576588	0.15399248334684057	C1_00750C_A/C1_04700C_A/C2_01000W_A/C2_05040C_A/C4_00400W_A/C5_02970W_A/C7_00170W_A/C7_01520W_A	8
GO:0005774	vacuolar membrane	6/88	145/4476	0.041379310344827586	2.1047021943573667	1.9148716631904685	0.06449408520750853	0.2556729806440517	0.2036655322342375	C1_00750C_A/C1_04700C_A/C4_00400W_A/C5_02970W_A/C7_00170W_A/C7_01520W_A	6
GO:0000322	storage vacuole	6/88	164/4476	0.036585365853658534	1.8608647450110865	1.5904573112868932	0.10227802043689421	0.3784286756165086	0.30145100760347776	C1_00750C_A/C2_01000W_A/C2_05040C_A/C4_00400W_A/C5_02970W_A/C7_01520W_A	6
GO:0000324	fungal-type vacuole	6/88	164/4476	0.036585365853658534	1.8608647450110865	1.5904573112868932	0.10227802043689421	0.3784286756165086	0.30145100760347776	C1_00750C_A/C2_01000W_A/C2_05040C_A/C4_00400W_A/C5_02970W_A/C7_01520W_A	6
GO:0009986	cell surface	5/88	129/4476	0.03875968992248062	1.9714587737843552	1.5853638698834636	0.10874768511539615	0.3785531363709337	0.30155015130543794	C1_05760C_A/C3_03870C_A/C4_06570C_A/C6_00750C_A/C6_03700W_A	5
GO:0000323	lytic vacuole	6/88	167/4476	0.03592814371257485	1.8274360370168752	1.5431529258839256	0.10913243571053945	0.3785531363709337	0.30155015130543794	C1_00750C_A/C2_01000W_A/C2_05040C_A/C4_00400W_A/C5_02970W_A/C7_01520W_A	6
GO:0031982	vesicle	9/88	290/4476	0.03103448275862069	1.5785266457680251	1.4425381245878035	0.11418241579226	0.38406812584669275	0.30594331504146227	C1_00750C_A/C1_01420C_A/C2_01000W_A/C2_08140C_A/C3_03870C_A/C3_04910C_A/C3_07470W_A/C6_01720C_A/CR_07640C_A	9
GO:0071006	U2-type catalytic step 1 spliceosome	1/88	10/4476	0.1	5.086363636363637	1.8318174760516153	0.1802569907852346	0.5439490352240409	0.43330221867064433	C7_03530C_A	1
GO:0071012	catalytic step 1 spliceosome	1/88	10/4476	0.1	5.086363636363637	1.8318174760516153	0.1802569907852346	0.5439490352240409	0.43330221867064433	C7_03530C_A	1
GO:0000329	fungal-type vacuole membrane	4/88	113/4476	0.035398230088495575	1.8004827031375703	1.220402570748325	0.1813163450746803	0.5439490352240409	0.43330221867064433	C1_00750C_A/C4_00400W_A/C5_02970W_A/C7_01520W_A	4
GO:0098852	lytic vacuole membrane	4/88	113/4476	0.035398230088495575	1.8004827031375703	1.220402570748325	0.1813163450746803	0.5439490352240409	0.43330221867064433	C1_00750C_A/C4_00400W_A/C5_02970W_A/C7_01520W_A	4
GO:0005777	peroxisome	3/88	78/4476	0.038461538461538464	1.9562937062937065	1.206467237506255	0.1973168649242422	0.5615941540151509	0.4473580743221686	C7_03520W_A/CR_02220C_A/CR_07250C_A	3
GO:0042579	microbody	3/88	78/4476	0.038461538461538464	1.9562937062937065	1.206467237506255	0.1973168649242422	0.5615941540151509	0.4473580743221686	C7_03520W_A/CR_02220C_A/CR_07250C_A	3
GO:1990816	vacuole-mitochondrion membrane contact site	1/88	13/4476	0.07692307692307693	3.912587412587413	1.489161320978652	0.22777657610515045	0.6320799986917924	0.503506115600859	C4_00400W_A	1
GO:0005782	peroxisomal matrix	1/88	18/4476	0.05555555555555555	2.8257575757575757	1.0990409597833088	0.30099668231450394	0.7769914357420916	0.6189405462525908	CR_07250C_A	1
GO:0031907	microbody lumen	1/88	18/4476	0.05555555555555555	2.8257575757575757	1.0990409597833088	0.30099668231450394	0.7769914357420916	0.6189405462525908	CR_07250C_A	1
GO:0036452	ESCRT complex	1/88	18/4476	0.05555555555555555	2.8257575757575757	1.0990409597833088	0.30099668231450394	0.7769914357420916	0.6189405462525908	C1_00750C_A	1
GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	1/88	20/4476	0.05	2.5431818181818184	0.9794089108467687	0.32832370627288854	0.7871988347915634	0.6270716180416437	C2_03870W_A	1
GO:0035838	growing cell tip	1/88	20/4476	0.05	2.5431818181818184	0.9794089108467687	0.32832370627288854	0.7871988347915634	0.6270716180416437	C3_04910C_A	1
GO:0071014	post-mRNA release spliceosomal complex	1/88	20/4476	0.05	2.5431818181818184	0.9794089108467687	0.32832370627288854	0.7871988347915634	0.6270716180416437	C7_03530C_A	1
GO:0005933	cellular bud	4/88	149/4476	0.026845637583892617	1.3654667480170835	0.6424688885521642	0.33642073641409403	0.7871988347915634	0.6270716180416437	C1_01420C_A/C2_05040C_A/C3_04910C_A/C7_01520W_A	4
GO:0070461	SAGA-type complex	1/88	21/4476	0.047619047619047616	2.422077922077922	0.9249403668743253	0.3415884086624721	0.7871988347915634	0.6270716180416437	C2_09880C_A	1
GO:0034399	nuclear periphery	2/88	63/4476	0.031746031746031744	1.6147186147186146	0.6957996756186556	0.35268397714324073	0.7871988347915634	0.6270716180416437	C2_05190W_A/C2_08870C_A	2
GO:0031985	Golgi cisterna	1/88	22/4476	0.045454545454545456	2.3119834710743805	0.8735125402749214	0.35459406972592944	0.7871988347915634	0.6270716180416437	CR_02220C_A	1
GO:0005795	Golgi stack	1/88	24/4476	0.041666666666666664	2.1193181818181817	0.7785493524543988	0.37984817918487146	0.8108297671061679	0.6458956893022105	CR_02220C_A	1
GO:0098552	side of membrane	1/88	24/4476	0.041666666666666664	2.1193181818181817	0.7785493524543988	0.37984817918487146	0.8108297671061679	0.6458956893022105	C6_00750C_A	1
GO:0035861	site of double-strand break	1/88	27/4476	0.037037037037037035	1.8838383838383839	0.6522710208491637	0.415908510528741	0.8323934330070444	0.6630730049558249	C4_06020C_A	1
GO:0090734	site of DNA damage	1/88	27/4476	0.037037037037037035	1.8838383838383839	0.6522710208491637	0.415908510528741	0.8323934330070444	0.6630730049558249	C4_06020C_A	1
GO:0005628	prospore membrane	1/88	28/4476	0.03571428571428571	1.8165584415584417	0.6137456764276007	0.4274616800215415	0.8323934330070444	0.6630730049558249	C1_00750C_A	1
GO:0051285	cell cortex of cell tip	1/88	29/4476	0.034482758620689655	1.7539184952978055	0.5767589975565618	0.4387888769995325	0.8323934330070444	0.6630730049558249	C3_07470W_A	1
GO:0051286	cell tip	3/88	124/4476	0.024193548387096774	1.2305718475073313	0.3687034701874649	0.4428226061015095	0.8323934330070444	0.6630730049558249	C1_01420C_A/C3_04910C_A/C3_07470W_A	3
GO:0060187	cell pole	3/88	124/4476	0.024193548387096774	1.2305718475073313	0.3687034701874649	0.4428226061015095	0.8323934330070444	0.6630730049558249	C1_01420C_A/C3_04910C_A/C3_07470W_A	3
GO:0071013	catalytic step 2 spliceosome	1/88	30/4476	0.03333333333333333	1.6954545454545453	0.5411892914846997	0.4498944715180939	0.8323934330070444	0.6630730049558249	C7_03530C_A	1
GO:0042995	cell projection	2/88	77/4476	0.025974025974025976	1.3211334120425031	0.40249308346560314	0.44994239622002397	0.8323934330070444	0.6630730049558249	C1_01420C_A/C3_04910C_A	2
GO:0042763	intracellular immature spore	1/88	32/4476	0.03125	1.5894886363636365	0.4738795289087138	0.4714579172369693	0.8440617550532837	0.6723678276384621	C1_00750C_A	1
GO:0042764	ascospore-type prospore	1/88	32/4476	0.03125	1.5894886363636365	0.4738795289087138	0.4714579172369693	0.8440617550532837	0.6723678276384621	C1_00750C_A	1
GO:0044232	organelle membrane contact site	1/88	35/4476	0.02857142857142857	1.4532467532467532	0.3811824383495578	0.502245598387925	0.8849089114453917	0.7049061030005966	C4_00400W_A	1
GO:1990204	oxidoreductase complex	1/88	36/4476	0.027777777777777776	1.4128787878787878	0.3521979978944307	0.5121087795052097	0.8881886644543481	0.7075187085269345	C5_03770C_A	1
GO:0000123	histone acetyltransferase complex	1/88	44/4476	0.022727272727272728	1.1559917355371903	0.14724230206404681	0.5843623385443859	0.9535414209510806	0.7595778033180729	C2_09880C_A	1
