CGDID	geneID	logFC	logCPM	PValue	FDR	protAlbicans	albGeneName	function	A19ID	GeneName
C6_00930C_A	B9J08_003419	0.0729495476561295	7.0678724425733455	0.5681672236802967	0.9377414930383243	C6_00930C_A-T-p1	C6_00930C_A	Protein of unknown function, Spider biofilm induced	orf19.94	NA
C6_00940C_A	B9J08_003420	-0.15065674205329377	5.781339548109981	0.2440632665958038	0.7751914229495291	C6_00940C_A-T-p1	C6_00940C_A	Pheromone-regulated protein [Source:UniProtKB/TrEMBL;Acc:Q59WV7]	orf19.95	NA
C6_00950C_A	B9J08_003421	-0.19769506508330853	5.852872047836194	0.1881451807883048	0.7125214227724588	C6_00950C_A-T-p1	C6_00950C_A	DNA topoisomerase I [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPI2]	orf19.96	TOP1
C6_00980C_A	B9J08_001116	0.21649528509614951	4.714478697992825	0.3162809441529791	0.8291060767930755	C6_00980C_A-T-p1	C6_00980C_A	Autophagy-related protein 15 [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPI4]	orf19.100	NA
C6_00990W_A	B9J08_001112	-0.07719496518755485	5.393701517977319	0.5184101854518129	0.9213023754892034	C6_00990W_A-T-p1	C6_00990W_A	pH-response regulator protein palI/RIM9 [Source:UniProtKB/Swiss-Prot;Acc:Q59WV0]	orf19.101	RIM9
C6_01000C_A	B9J08_001114	-0.08262313412147115	4.414595119318676	0.6093970519365001	0.9477536196832306	C6_01000C_A-T-p1	C6_01000C_A	Protein required for expression of mitochondrial ATP synthase and cytochrome c oxidase (respiratory chain complex IV)	orf19.102	NA
C6_01010W_A	B9J08_001115	-0.16429809667387377	1.8988550648517486	0.5987323945162665	0.9455160970299484	C6_01010W_A-T-p1	C6_01010W_A	Ortholog of S. cerevisiae Kar5, involved in nuclear membrane fusion during karyogamy, induced by alpha factor	orf19.103	KAR5
C6_01030W_A	B9J08_001798	0.11849661782434825	7.0391656090084345	0.27797444179471986	0.8052742611650122	C6_01030W_A-T-p1	C6_01030W_A	3'(2'),5'-bisphosphate nucleotidase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q59XQ1]	orf19.105	HAL22
C6_01040C_A	B9J08_001796	0.18582686060917308	6.057057469027779	0.3328076860050059	0.843081224805037	C6_01040C_A-T-p1	C6_01040C_A	RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPJ3]	orf19.107	NA
C6_01050W_A	B9J08_001797	0.09661848080150863	7.056487796373894	0.47609340070473144	0.9080258326803121	C6_01050W_A-T-p1	C6_01050W_A	Tyrosine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:Q59WU2]	orf19.109	NA
C6_01060C_A	B9J08_005360	0.589252105528901	7.642685220172204	0.013958439897295328	0.2542055812012555	C6_01060C_A-T-p1	C6_01060C_A	Probable lysine/arginine permease CAN2 [Source:UniProtKB/Swiss-Prot;Acc:Q59WU0]	orf19.111	CAN2
C6_01070C_A	B9J08_003024	-0.3772508562080588	2.558406711164795	0.1007920184717376	0.5913104453254069	C6_01070C_A-T-p1	C6_01070C_A	NmrA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPI6]	orf19.113	CIP1
C6_01090C_A	B9J08_001119	0.04032119510153721	5.745921888032697	0.7381844147895881	0.9684848199106758	C6_01090C_A-T-p1	C6_01090C_A	Ortholog of Candida tropicalis NEW ASSEMBLY : CTRG1_CGOB_00181, Candida tropicalis MYA-3404 : CTRG_02973 and Candida albicans WO-1 : CAWG_05252	orf19.115	NA
C6_01100W_A	B9J08_004691	0.020899793776633115	6.7483819164363235	0.8558292389256492	0.9860035517949508	C6_01100W_A-T-p1	C6_01100W_A	Protein transport protein SEC9 [Source:UniProtKB/Swiss-Prot;Acc:Q59XP0]	orf19.117	SEC9
C6_01110W_A	B9J08_004590	0.027739643749243207	7.418370633127942	0.8134614563213418	0.9805178226333999	C6_01110W_A-T-p1	C6_01110W_A	FA_desaturase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q59WT3]	orf19.118	FAD2
C6_01120C_A	B9J08_004589	0.20869418302627193	4.878274040373703	0.2228129215875175	0.7538456894326915	C6_01120C_A-T-p1	C6_01120C_A	Protein-S-isoprenylcysteine O-methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPI7]	orf19.119	NA
C6_01150W_A	B9J08_004370	0.28281154012965354	5.793516277946137	0.04077500480178483	0.3963122506781855	C6_01150W_A-T-p1	C6_01150W_A	WD_REPEATS_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPK6]	orf19.122	CDC20
C6_01160W_A	B9J08_001117	0.07671432312524701	3.2210789262937394	0.7213230529331656	0.9671618848609282	C6_01160W_A-T-p1	C6_01160W_A	Rcn1p [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPK4]	orf19.123	RCN1
C6_01170W_A	B9J08_001118	0.07639000178032482	7.0148501363551325	0.6909913975715697	0.9612547985450713	C6_01170W_A-T-p1	C6_01170W_A	Cic1p [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPJ1]	orf19.124	CIC1
C6_01180C_A	B9J08_002408	-0.12385800257006792	6.530283760565085	0.5500405898635634	0.934394566088194	C6_01180C_A-T-p1	C6_01180C_A	Oxidored_FMN domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPK1]	orf19.125	EBP1
